athlete_id,age,gender,height_cm,weight_kg,monthly_income_usd,previously_joined_gym,exercise_plan,balanced_diet,athletics_food_supplements,medical_limitations,smoker,sleeping_habits,workout_prefer_time,frequency_of_play_sports,regular_exercise,preferred_sports,level_of_fittness,motivation_for_workingout
126038,18,M,181,95,5201,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Swimming,Unfit,2
122400,30,M,153,55,56355,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Running,Good,4
125115,50,F,159,66,125132,yes,no,yes,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Extreme sports,Good,3
122858,33,F,179,82,96026,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Extreme sports,Good,3.5
454,30,F,175,67,84296,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Swimming,Good,3.5
152,32,M,167,69,78260,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Perfect,4.5
195,34,F,169,68,80923,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Roller scating,Perfect,4.5
125876,20,F,162,72,15132,no,no,yes,no,no,FALSE,night regularly,PM,Less often,In a pair,Riding a bike,Unfit,1.5
123097,37,M,191,96,88432,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Roller scating,Good,4
123020,38,F,150,51,84894,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Running,Good,4.5
124250,33,M,156,62,54165,yes,no,no,sometimes,no,FALSE,night regularly,PM,Every day,As a group,Extreme sports,Average,3
123098,41,M,193,99,92888,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Martial arts,Perfect,4.5
124720,26,F,177,78,59567,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Running,Average,4
122468,26,F,150,51,73721,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Good,4.5
122166,20,M,176,69,18770,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Martial arts,Perfect,4
122446,26,F,153,58,51794,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Extreme sports,Good,4.5
110178,23,F,162,49,17952,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,Alone,Roller scating,Good,4
124500,29,F,162,67,78702,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Running,Good,3.5
110190,18,F,164,58,13037,yes,no,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Swimming,Perfect,3.5
124274,32,M,150,59,56973,yes,yes,no,yes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Martial arts,Average,3
125243,52,M,170,79,107145,no,yes,no,yes,yes,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Good,4
122605,33,M,178,79,97980,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,Alone,Swimming,Perfect,3.5
124337,26,F,153,61,71052,yes,yes,no,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Martial arts,Average,3.5
124974,37,F,173,63,90631,no,yes,yes,sometimes,no,TRUE,less than 8 hrs,PM,Every day,In a pair,Martial arts,Good,3
122131,24,F,166,65,15891,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Once per week,In a pair,Martial arts,Perfect,4.5
122683,28,F,184,84,59190,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Swimming,Perfect,3.5
123570,23,M,164,74,22978,yes,no,no,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Average,3.5
173,31,F,171,68,80878,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Roller scating,Perfect,4
125308,20,M,157,69,1798,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1.5
122566,26,F,183,83,67468,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Once per week,As a group,Roller scating,Perfect,4.5
122701,34,M,186,75,71725,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Swimming,Perfect,4.5
193,28,F,169,67,77505,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Riding a bike,Perfect,4.5
122905,30,F,197,96,64790,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Extreme sports,Perfect,4
122773,28,F,182,75,70102,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,4.5
123659,18,F,162,73,24622,no,no,no,sometimes,no,TRUE,night regularly,PM,Every day,As a group,Roller scating,Good,3
123612,19,M,161,66,40918,no,yes,yes,yes,no,FALSE,night regularly,AM,Every other day,In a pair,Martial arts,Average,4
166,27,F,169,67,77774,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Swimming,Perfect,4.5
122136,19,M,173,67,5792,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Running,Perfect,4
122103,22,M,176,65,2525,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Good,4.5
122612,25,F,187,83,89757,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,Alone,Martial arts,Perfect,3.5
125349,22,F,159,67,3418,no,yes,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1.5
123346,18,M,156,56,5585,yes,no,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Running,Average,3.5
125219,54,M,176,80,122784,yes,yes,yes,sometimes,yes,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Good,4
367,25,F,175,66,81359,yes,no,yes,yes,no,FALSE,night regularly,PM,Once per week,As a group,Extreme sports,Perfect,4.5
126216,28,M,175,80,74067,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1.5
291,25,F,166,68,81097,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Roller scating,Perfect,4
125839,18,M,162,75,3321,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,1
110037,19,F,154,52,8745,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Martial arts,Good,3.5
110192,21,F,153,50,2474,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Once per week,As a group,Swimming,Perfect,4.5
401,25,F,176,65,79413,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Good,4
126086,19,M,182,95,4934,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1.5
126101,22,M,181,86,6210,yes,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Running,Average,1
125193,49,M,198,104,91642,no,yes,no,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Roller scating,Good,3
218,25,M,168,66,78732,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Martial arts,Good,4
124100,24,M,185,92,5646,no,yes,no,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,In a pair,Roller scating,Average,3.5
122872,26,F,187,76,56568,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Extreme sports,Perfect,4
122475,25,F,153,59,52286,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Perfect,4.5
123827,19,M,162,66,11043,no,yes,no,sometimes,no,FALSE,night regularly,PM,Every other day,Alone,Swimming,Average,4
123706,22,F,162,71,21439,yes,yes,yes,sometimes,no,TRUE,less than 8 hrs,AM,Once per week,As a group,Swimming,Average,3
123451,21,F,156,59,17707,yes,yes,no,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Good,3.5
125136,54,M,171,80,109231,yes,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Every other day,In a pair,Martial arts,Average,3.5
122636,32,F,185,77,71887,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Extreme sports,Perfect,4.5
123718,19,F,160,70,18347,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Swimming,Average,3
125893,22,F,167,72,20533,no,no,yes,no,yes,TRUE,less than 8 hrs,PM,Less often,In a pair,Running,Unfit,1
353,29,F,168,65,78532,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Perfect,4.5
123943,21,M,176,79,3471,no,no,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Running,Average,3
126110,19,M,177,85,22995,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
124467,27,F,161,68,95140,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Good,4
124730,32,M,171,79,58477,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Swimming,Average,3
124947,39,M,173,69,81131,no,yes,yes,sometimes,yes,FALSE,less than 8 hrs,PM,Every other day,As a group,Extreme sports,Good,3.5
124378,34,M,158,62,93110,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Roller scating,Average,3
124442,30,F,150,64,82715,no,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Once per week,In a pair,Running,Good,3.5
125919,19,F,168,79,6777,no,no,no,no,yes,FALSE,night regularly,PM,Less often,As a group,Running,Unfit,1
124840,26,F,177,79,74404,no,no,yes,sometimes,no,TRUE,less than 8 hrs,PM,Once per week,In a pair,Martial arts,Good,4
126196,32,M,152,60,33276,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Martial arts,Poor,1
122809,34,F,180,78,74238,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Swimming,Good,4.5
311,30,M,174,68,81681,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Martial arts,Perfect,4.5
432,26,F,173,67,74599,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Good,3.5
123958,22,M,176,85,31680,yes,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Every day,Alone,Swimming,Good,3
127,25,F,176,67,83562,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Perfect,4
122918,25,M,197,99,75461,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4.5
125320,20,F,150,68,9185,yes,yes,no,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Riding a bike,Unfit,1
124365,31,M,152,58,86663,yes,no,no,sometimes,no,TRUE,less than 8 hrs,PM,Once per week,As a group,Extreme sports,Average,3.5
124955,39,F,160,68,90652,no,no,no,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Riding a bike,Good,3
125864,24,M,173,73,7065,yes,yes,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1
122434,29,F,160,57,57303,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Extreme sports,Good,3.5
122894,25,M,196,99,72421,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Roller scating,Perfect,4
126230,26,F,181,90,60235,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1.5
125799,22,F,164,82,6650,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Several times per month,Alone,Running,Poor,1.5
122250,29,F,158,55,64917,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Martial arts,Perfect,4
125351,24,F,150,70,21641,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Roller scating,Unfit,1.5
122649,34,F,181,80,71180,yes,no,yes,yes,no,FALSE,night regularly,PM,Every day,Alone,Swimming,Perfect,4.5
125773,22,M,164,80,959,no,no,no,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Roller scating,Unfit,2
125564,23,F,151,69,11444,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,1
110059,20,F,163,58,11951,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,Alone,Martial arts,Good,4
125325,21,F,154,66,24614,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Running,Unfit,1.5
126198,25,M,175,81,60079,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,As a group,Riding a bike,Unfit,1
124344,31,M,155,61,79929,no,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Average,3.5
469,31,M,175,69,86743,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Extreme sports,Good,4.5
126416,50,F,191,104,124739,no,no,yes,sometimes,yes,TRUE,night regularly,PM,Less often,Alone,Riding a bike,Unfit,1
211,30,F,173,68,83744,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Good,3.5
125579,23,M,153,67,15188,no,yes,yes,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1.5
110133,24,M,162,49,15350,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Extreme sports,Perfect,3.5
123792,24,M,165,69,8308,no,no,yes,sometimes,no,TRUE,night regularly,PM,Once per week,In a pair,Swimming,Good,3
123474,23,F,162,67,49893,yes,no,no,yes,no,FALSE,night regularly,PM,Every day,As a group,Extreme sports,Good,3
133,27,F,171,67,71310,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,Alone,Extreme sports,Perfect,4
110045,24,F,160,58,18603,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,As a group,Martial arts,Good,3.5
125729,18,F,159,67,20349,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Average,1.5
124363,34,F,156,64,73402,yes,yes,no,yes,no,TRUE,night regularly,PM,Every other day,As a group,Swimming,Good,4
123645,24,M,165,74,7581,yes,yes,yes,yes,no,TRUE,night regularly,AM,Once per week,In a pair,Swimming,Average,3
124249,34,F,157,61,50122,yes,no,no,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Swimming,Good,3
122537,26,M,186,76,59620,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Running,Good,3.5
126249,33,M,196,111,26439,no,no,yes,sometimes,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Running,Unfit,1.5
124398,26,M,154,62,54899,no,no,no,sometimes,no,FALSE,less than 8 hrs,AM,Every other day,Alone,Swimming,Average,3.5
126039,24,M,184,88,14674,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1
123576,18,F,165,71,14132,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Once per week,In a pair,Roller scating,Good,3.5
125437,23,M,154,68,808,no,no,no,no,no,TRUE,less than 8 hrs,PM,Several times per month,Alone,Running,Unfit,1
123956,21,F,177,79,39762,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,3
122377,31,M,159,51,52061,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Good,3.5
338,31,M,166,66,87881,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,4
126045,21,F,186,86,23712,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1
124684,32,F,175,79,73471,yes,yes,yes,sometimes,no,TRUE,less than 8 hrs,AM,Every day,As a group,Running,Good,3
123938,20,F,175,80,33514,no,yes,yes,sometimes,no,TRUE,night regularly,AM,Once per week,As a group,Roller scating,Average,3
527,32,F,169,69,71996,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,4
122686,28,M,184,82,63673,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Good,4.5
122794,33,F,185,78,72823,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Martial arts,Perfect,4
123028,35,F,153,53,88172,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,4.5
122504,25,F,164,56,72979,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Good,4.5
122327,30,F,161,55,72635,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Good,4.5
125153,47,F,187,77,108248,yes,yes,no,sometimes,no,TRUE,night regularly,AM,Every day,Alone,Roller scating,Good,4
125774,19,M,163,72,6203,no,yes,yes,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
123162,23,M,153,61,9645,yes,no,yes,yes,no,FALSE,night regularly,AM,Once per week,Alone,Riding a bike,Average,3.5
126423,49,F,192,105,124764,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,As a group,Riding a bike,Unfit,1
543,33,M,171,65,75666,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Running,Perfect,4.5
126382,52,M,177,80,121716,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1
124869,33,M,174,79,56140,no,no,yes,sometimes,no,TRUE,night regularly,AM,Every day,As a group,Swimming,Good,4
124035,23,F,173,82,5276,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Average,3.5
123411,20,F,154,56,12660,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Swimming,Good,3.5
364,25,M,169,69,71719,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Once per week,In a pair,Swimming,Perfect,4.5
125454,21,M,157,70,4827,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1
125731,19,F,159,68,14200,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
118,27,F,172,68,82564,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Martial arts,Perfect,4
123968,18,F,176,86,903,no,no,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Martial arts,Good,3.5
410,27,F,172,66,71302,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,4
125944,24,M,172,72,6669,no,no,no,no,yes,FALSE,less than 8 hrs,PM,Less often,As a group,Running,Poor,1
123099,35,F,194,97,75137,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Extreme sports,Perfect,3.5
124413,26,M,151,61,71449,yes,yes,yes,sometimes,yes,FALSE,less than 8 hrs,PM,Every other day,In a pair,Riding a bike,Good,3.5
125464,24,M,150,67,16101,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
345,29,F,172,69,74658,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Once per week,As a group,Martial arts,Perfect,4
122659,30,M,188,76,77054,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,4
124370,34,M,156,61,95459,yes,no,yes,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,As a group,Extreme sports,Average,3.5
123657,24,M,168,72,50505,yes,no,no,yes,no,FALSE,less than 8 hrs,PM,Every other day,In a pair,Swimming,Average,3
283,25,F,172,66,71232,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,In a pair,Extreme sports,Perfect,3.5
125591,24,M,157,66,14078,no,no,yes,no,no,FALSE,night regularly,PM,Less often,As a group,Running,Unfit,1
125796,20,F,167,78,19780,no,no,yes,no,no,FALSE,night regularly,PM,Several times per month,Alone,Running,Unfit,1.5
123984,18,F,171,81,6942,no,yes,no,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Good,3.5
124490,31,F,166,70,83301,no,no,yes,yes,no,FALSE,night regularly,AM,Every other day,As a group,Swimming,Average,3.5
124176,18,F,180,88,16280,no,yes,yes,sometimes,no,TRUE,night regularly,AM,Once per week,As a group,Riding a bike,Good,3.5
123556,21,F,163,74,36122,no,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Average,3.5
123910,19,F,176,87,11721,yes,no,no,yes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Good,3
124012,19,F,171,81,22005,yes,yes,yes,sometimes,no,TRUE,less than 8 hrs,PM,Once per week,As a group,Running,Average,3
123129,19,F,152,61,20723,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Extreme sports,Average,3
126408,50,M,190,104,124364,yes,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1
124677,27,M,176,79,51830,yes,no,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Average,3.5
124538,32,F,165,71,85778,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,As a group,Swimming,Average,3.5
122734,30,M,183,79,72278,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Perfect,4.5
125770,24,M,169,72,15962,no,yes,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,1
125462,22,F,156,66,22926,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Roller scating,Unfit,1.5
122498,31,F,155,56,74182,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,As a group,Extreme sports,Perfect,4
445,33,F,166,66,77512,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Riding a bike,Perfect,4
122363,26,M,153,59,74743,yes,no,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Good,4.5
125661,23,F,158,69,20776,no,no,no,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Riding a bike,Unfit,1
126366,35,M,190,113,79512,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Swimming,Poor,1
114,25,F,176,67,73320,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Perfect,3.5
123743,19,M,167,70,49224,yes,no,no,yes,no,FALSE,night regularly,PM,Once per week,Alone,Martial arts,Good,3.5
168,31,F,175,65,72798,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Perfect,4.5
122696,28,F,178,76,95394,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Martial arts,Perfect,4.5
124519,31,F,160,69,98471,no,no,no,sometimes,no,TRUE,less than 8 hrs,AM,Every day,As a group,Running,Good,3.5
150,34,F,167,65,72427,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,In a pair,Swimming,Perfect,3.5
122300,32,F,153,55,61493,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Every day,Alone,Martial arts,Perfect,3.5
125018,36,F,192,85,108925,no,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Once per week,Alone,Running,Good,3.5
474,25,F,174,65,86255,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Perfect,4.5
123719,19,F,161,69,3066,yes,no,yes,yes,no,TRUE,night regularly,PM,Once per week,In a pair,Roller scating,Good,3.5
124463,34,M,164,68,85431,yes,yes,no,sometimes,no,TRUE,night regularly,AM,Every day,As a group,Roller scating,Good,4
124348,32,F,156,58,97823,yes,yes,yes,sometimes,yes,FALSE,night regularly,AM,Every other day,As a group,Swimming,Average,3.5
203,31,F,172,67,83258,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Roller scating,Perfect,4
525,33,F,176,66,78639,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Swimming,Good,4.5
123318,19,F,151,56,15447,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Riding a bike,Good,3
125051,36,F,183,85,106569,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Roller scating,Average,4
123816,20,F,168,73,50844,no,yes,no,sometimes,no,TRUE,less than 8 hrs,AM,Once per week,In a pair,Riding a bike,Good,3
125175,51,M,198,105,86294,no,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Running,Good,3.5
125503,24,F,151,67,16878,yes,no,yes,sometimes,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1
110103,24,M,164,54,5457,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Perfect,4.5
124599,34,F,176,78,59166,yes,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Every other day,In a pair,Riding a bike,Good,3
125085,39,F,189,94,100289,yes,no,no,yes,yes,TRUE,night regularly,AM,Every other day,In a pair,Martial arts,Good,3
124913,30,M,192,97,63823,yes,yes,no,sometimes,yes,TRUE,night regularly,AM,Once per week,Alone,Martial arts,Good,4
125241,53,F,171,79,120075,yes,yes,no,sometimes,no,TRUE,less than 8 hrs,AM,Every day,In a pair,Swimming,Good,3
